x,y,color,label,batch
122.96439135913486,163.4609209984157,#1f77b4,a,0
139.08909471387685,163.4548841985761,#1f77b4,a,0
125.78480987284284,202.41942807869623,#1f77b4,a,0
102.23990514311362,210.9862360330289,#1f77b4,a,0
133.29607436449717,207.27004290636893,#1f77b4,a,0
131.87105080217216,222.8559762896714,#1f77b4,a,0
101.1965240541121,256.61551040592343,#1f77b4,a,0
114.50624982591496,271.73756640925785,#1f77b4,a,0
104.26227205448023,250.6312028577978,#1f77b4,a,0
136.7161628863621,268.4762045382912,#1f77b4,a,0
145.2318516572579,300.38990269877434,#1f77b4,a,0
135.6844095012343,291.08058185578994,#1f77b4,a,0
109.72007216446224,307.31104589136135,#1f77b4,a,0
127.3615425389278,302.98609098414624,#1f77b4,a,0
115.4838475507309,315.4210873482059,#1f77b4,a,0
121.31995874263458,314.7066796225104,#1f77b4,a,0
145.85874763751474,319.70780362303606,#1f77b4,a,0
151.58610982895064,338.01877482465306,#1f77b4,a,0
136.78841647950392,334.2442293969218,#1f77b4,a,0
140.84050487586399,360.2771623723339,#1f77b4,a,0
154.47953026487707,354.921691590915,#1f77b4,a,0
154.92972592094767,387.3851883165653,#1f77b4,a,0
152.20191933980814,384.9792367083147,#1f77b4,a,0
176.48680846966823,384.2445586624607,#1f77b4,a,0
150.51878845450938,389.60219793792646,#1f77b4,a,0
178.56167760511707,396.07610027147666,#1f77b4,a,0
185.5762331265149,407.6048590882557,#1f77b4,a,0
213.69358660901997,420.5826458150717,#1f77b4,a,0
213.4321120543469,430.67908052894484,#1f77b4,a,0
222.28141671571262,425.1126079959768,#1f77b4,a,0
220.1185163060472,410.1820127683373,#1f77b4,a,0
207.42444745413758,423.25958293266365,#1f77b4,a,0
205.11248778330804,435.5441362440517,#1f77b4,a,0
221.44773531261683,448.62152631496673,#1f77b4,a,0
231.5201550355703,454.12361180885375,#1f77b4,a,0
229.86141156797925,415.65720936053117,#1f77b4,a,0
244.45522585249904,452.4770502117377,#1f77b4,a,0
247.4727330240009,452.86266498509696,#1f77b4,a,0
268.23826582463386,430.6864967345727,#1f77b4,a,0
263.6229299609331,414.3189602983265,#1f77b4,a,0
278.23482013736617,378.73970626503353,#1f77b4,a,0
273.96365843180587,364.28764585902195,#1f77b4,a,0
296.26390764166547,341.42424760645525,#1f77b4,a,0
269.1714168168211,330.25512772529333,#1f77b4,a,0
291.68564318071617,304.3682214455862,#1f77b4,a,0
271.03194736625176,290.4064898042641,#1f77b4,a,0
297.883567540174,285.29806660826887,#1f77b4,a,0
284.36556180713853,304.8941999702235,#1f77b4,a,0
308.9829175088395,281.94237466878184,#1f77b4,a,0
278.90812953693575,247.03050050883118,#1f77b4,a,0
290.5905478985528,250.84949274165774,#1f77b4,a,0
299.6437796781326,233.46394813050057,#1f77b4,a,0
281.58153453588756,248.65310563330266,#1f77b4,a,0
288.65208615035925,218.09181473607032,#1f77b4,a,0
286.53123634194054,228.4760844758572,#1f77b4,a,0
310.1577359764857,219.79481902133398,#1f77b4,a,0
282.35455067908066,202.02183127436183,#1f77b4,a,0
299.7419415860452,211.60774812541143,#1f77b4,a,0
279.8883200160257,213.56374834273424,#1f77b4,a,0
294.167957304541,221.40220802926552,#1f77b4,a,0
295.24772759879517,201.36045801431436,#1f77b4,a,0
276.17357882359244,197.80220513617587,#1f77b4,a,0
285.51344130148766,184.62641256515099,#1f77b4,a,0
284.46689371365613,190.33892351185563,#1f77b4,a,0
299.90106327577683,181.9286006123263,#1f77b4,a,0
306.33614695218756,192.75402282744278,#1f77b4,a,0
289.3738991579809,180.42919471298075,#1f77b4,a,0
318.6781568170955,149.44613797827105,#1f77b4,a,0
311.324995786037,149.68435784887612,#1f77b4,a,0
304.1737911316045,138.96283108197787,#1f77b4,a,0
312.79840429981056,168.87922984161065,#1f77b4,a,0
320.4554943075978,158.08088655291306,#1f77b4,a,0
316.4528454951651,132.1341543370395,#1f77b4,a,0
330.8384251314831,131.79982211564226,#1f77b4,a,0
320.40276822333186,156.85049557405983,#1f77b4,a,0
323.3291982063681,145.8024232105389,#1f77b4,a,0
329.60794042438624,123.28588847753576,#1f77b4,a,0
335.2110707236826,134.90152386326253,#1f77b4,a,0
337.5925025066745,120.83243683457488,#1f77b4,a,0
365.6097798317693,114.15529747554444,#1f77b4,a,0
367.87910435295623,126.20594605168276,#1f77b4,a,0
379.6894725095824,118.69764652138883,#1f77b4,a,0
379.3585859571762,125.3154629199172,#1f77b4,a,0
383.39966003535835,142.27966498722293,#1f77b4,a,0
414.83254786231106,151.52200723489761,#1f77b4,a,0
425.2022382035301,160.5160068659032,#1f77b4,a,0
426.98780958475635,152.24361401936562,#1f77b4,a,0
